ticker,name,market_cap
014830,유니드,558327000000
030520,한글과컴퓨터,556134112000
009155,삼성전기우,555815340800
090435,아모레퍼시픽우,555341858000
006910,보성파워텍,553693116480
059090,미코,553381843680
192650,드림텍,547447326440
478340,나라스페이스테크놀로지,546692213400
117730,티로보틱스,544615088700
027360,아주IB투자,541519964820
010170,대한광통신,540481277700
003300,한일홀딩스,537725496960
0001A0,덕양에너젠,536729371750
455900,엔젤로보틱스,535675465600
101160,월덱스,534956173200
453340,현대그린푸드,533970759420
001200,유진투자증권,533733963180
025900,동화기업,532873783900
425420,티에프이,530457488500
105840,우진,529178954000
035810,이지홀딩스,529032717000
145990,삼양사,528048588800
161000,애경케미칼,523946595930
003000,부광약품,520949462880
122640,예스티,520935632400
220100,퓨쳐켐,520316144000
145720,덴티움,517819425000
101730,위메이드맥스,517066274620
047920,HLB제약,515277882760
049630,재영솔루텍,510257849400
050890,쏠리드,509747320260
215600,신라젠,509699094840
058970,엠로,508033154400
309710,아이티켐,502371939300
215200,메가스터디교육,501676454400
089590,제주항공,500780516850
020000,한섬,500361758100
484590,삼양컴텍,500294863000
0015G0,그린광학,499113373650
017810,풀무원,498997894780
026890,스틱인베스트먼트,498470973000
005945,NH투자증권우,497250006800
004700,조광피혁,496690608600
200670,휴메딕스,494678416500
006340,대원전선,494048641110
016800,퍼시스,493925000000
228760,지노믹트리,493756071900
170900,동아에스티,492884707700
230360,에코마케팅,491020326720
450950,아스테라시스,490217692440
053030,바이넥스,487974926840
010690,화신,487139719500
001530,DI동일,485340288000
097520,엠씨넥스,483761700000
241520,DSC인베스트먼트,481950000000
138490,코오롱ENP,478040000000
060980,HL홀딩스,475415413200
009290,광동제약,475090168320
304360,에스바이오메딕스,474969658800
006110,삼아알미늄,474876487000
180400,DXVX,474429862240
183190,아세아시멘트,473781852140
067630,HLB생명과학,473647770330
034950,한국기업평가,472213456000
093520,매커스,471630963600
107640,한중엔시에스,471377192000
344820,KCC글라스,471130104000
072710,농심홀딩스,469808127000
091700,파트론,464750000000
005610,SPC삼립,464240684200
194480,데브시스터즈,460907700000
013030,하이록코리아,459546023200
078020,LS증권,459384253200
029460,케이씨,459124826100
114810,한솔아이원스,458920442700
460860,동국제강,458378077080
015860,일진홀딩스,455970742920
037270,YG PLUS,455827867600
069080,웹젠,455693642280
368770,파이버프로,454702474000
000157,두산2우B,454556342000
091810,티웨이항공,452234511110
041830,인바디,451609547000
394800,쓰리빌리언,450060114920
015360,INVENI,449160000000
200880,서연이화,448672054200
033640,네패스,448270886880
110990,디아이티,447930000000
298830,슈어소프트테크,447447636630
340570,티앤엘,447040000000
474650,링크솔루션,445985737600
031430,신세계인터내셔날,443554650000
475400,씨메스,442615734300
084010,대한제강,440987576680
011930,신성이엔지,439485802385
018250,애경산업,438669020350
179900,유티아이,438357625800
003280,흥아해운,438054165978
199800,툴젠,437999472300
008060,대덕,437182935000
092870,엑시콘,433939000250
078340,컴투스,430450742800
012030,DB,429506346955
221800,유투바이오,427786926900
060720,KH바텍,426193956000
089890,코세스,425404275300
034830,한국토지신탁,423171949480
002310,아세아제지,422232579300
352480,씨앤씨인터내셔널,421845435950
200130,콜마비앤에이치,417700923600
394280,오픈엣지테크놀로지,417273281400
086390,유니테스트,415285575900
011500,한농화성,412036056700
033790,피노,411625792050
078350,한양디지텍,411598314000
094480,갤럭시아머니트리,411521000620
099440,스맥,410825231880
004310,현대약품,409920000000
441270,파인엠텍,409633794360
024850,HLB이노베이션,409597526110
002710,TCC스틸,409195810170
194370,제이에스코퍼레이션,409136287800
126720,수산인더스트리,406436700000
314930,바이오다인,405387082860
003800,에이스침대,405339500000
098070,한텍,404253475350
101930,인화정공,403938587500
027410,BGF,402967690110
079940,가비아,402620520000
051500,CJ프레시웨이,402446765400
114190,강원에너지,402294785200
389500,에스비비테크,402202904000
371950,풍원정밀,400673848640
900290,GRT,399803250000
012210,삼미금속,399678136120
037460,삼지전자,398987862900
041920,메디아나,398001972200
094360,칩스앤미디어,397922423800
002810,삼영무역,397039382000
317330,덕산테코피아,396631432080
092200,디아이씨,396274518110
128820,대성산업,395810432500
338840,와이바이오로직스,393871201950
403550,쏘카,392132309880
144510,지씨셀,387108428000
000650,천일고속,385889400000
126560,현대퓨처넷,384608278050
365270,큐라클,382802922360
001390,KG케미칼,382555940700
199430,케이엔알시스템,381632092100
023410,유진기업,379596337330
217590,티엠씨,379484043750
200470,에이팩트,379140732350
003520,영진약품,378587953170
306200,세아제강,377795160000
234340,헥토파이낸셜,377207712000
064820,케이프,377001081600
000320,노루홀딩스,374810458200
462350,이노스페이스,374591544200
272450,진에어,374274000000
005720,넥센,373736959460
011760,현대코퍼레이션,373056841200
035890,서희건설,372979125711
007690,국도화학,371822404800
084690,대상홀딩스,371540639880
101360,에코앤드림,370840476900
012860,모베이스전자,367631954140
216080,제테마,367245332400
014940,오리엔탈정공,366867971050
078130,국일제지,366406908075
286940,롯데이노베이트,366130681400
